rx_id,npi,prescriber_name,product,trx,week_start,site_name,site_address_line1,site_address_line2,site_city,site_state,site_zip
RX00026,1000000003,"Lucas A. Patel, MD",ECZEMABIO,1,2026-02-23,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00027,1000000003,"Lucas A. Patel, MD",ECZEMABIO,6,2026-03-02,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00028,1000000004,"Ananya A. White, MD",ECZEMABIO,9,2026-01-05,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00029,1000000004,"Ananya A. White, MD",ECZEMABIO,18,2026-01-12,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00030,1000000004,"Ananya A. White, MD",ECZEMABIO,18,2026-01-19,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00031,1000000004,"Ananya A. White, MD",ECZEMABIO,20,2026-01-26,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00032,1000000004,"Ananya A. White, MD",ECZEMABIO,21,2026-02-02,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00033,1000000004,"Ananya A. White, MD",ECZEMABIO,10,2026-02-09,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00034,1000000004,"Ananya A. White, MD",ECZEMABIO,25,2026-02-16,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00035,1000000004,"Ananya A. White, MD",ECZEMABIO,19,2026-02-23,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00036,1000000004,"Ananya A. White, MD",ECZEMABIO,10,2026-03-02,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00037,1000000005,"Charlotte C. Garcia, MD",ECZEMABIO,6,2026-01-05,MGB Dermatology Network - Back Bay,800 Boylston St,Ste 1600,Boston,MA,02199
RX00038,1000000005,"Charlotte C. Garcia, MD",ECZEMABIO,5,2026-01-12,MGB Dermatology Network - Back Bay,800 Boylston St,Ste 1600,Boston,MA,02199
RX00039,1000000005,"Charlotte C. Garcia, MD",ECZEMABIO,0,2026-01-19,MGB Dermatology Network - Back Bay,800 Boylston St,Ste 1600,Boston,MA,02199
RX00040,1000000005,"Charlotte C. Garcia, MD",ECZEMABIO,6,2026-01-26,MGB Dermatology Network - Back Bay,800 Boylston St,Ste 1600,Boston,MA,02199
RX00041,1000000005,"Charlotte C. Garcia, MD",ECZEMABIO,0,2026-02-02,MGB Dermatology Network - Back Bay,800 Boylston St,Ste 1600,Boston,MA,02199
RX00042,1000000005,"Charlotte C. Garcia, MD",ECZEMABIO,1,2026-02-09,MGB Dermatology Network - Back Bay,800 Boylston St,Ste 1600,Boston,MA,02199
RX00043,1000000005,"Charlotte C. Garcia, MD",ECZEMABIO,1,2026-02-16,MGB Dermatology Network - Back Bay,800 Boylston St,Ste 1600,Boston,MA,02199
RX00044,1000000005,"Charlotte C. Garcia, MD",ECZEMABIO,6,2026-02-23,MGB Dermatology Network - Back Bay,800 Boylston St,Ste 1600,Boston,MA,02199
RX00045,1000000005,"Charlotte C. Garcia, MD",ECZEMABIO,0,2026-03-02,MGB Dermatology Network - Back Bay,800 Boylston St,Ste 1600,Boston,MA,02199
RX00046,1000000006,"Charlotte B. Lewis, MD",ECZEMABIO,4,2026-01-05,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00047,1000000006,"Charlotte B. Lewis, MD",ECZEMABIO,1,2026-01-12,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00048,1000000006,"Charlotte B. Lewis, MD",ECZEMABIO,1,2026-01-19,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00049,1000000006,"Charlotte B. Lewis, MD",ECZEMABIO,1,2026-01-26,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00050,1000000006,"Charlotte B. Lewis, MD",ECZEMABIO,3,2026-02-02,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00051,1000000006,"Charlotte B. Lewis, MD",ECZEMABIO,5,2026-02-09,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00052,1000000006,"Charlotte B. Lewis, MD",ECZEMABIO,0,2026-02-16,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00053,1000000006,"Charlotte B. Lewis, MD",ECZEMABIO,4,2026-02-23,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00054,1000000006,"Charlotte B. Lewis, MD",ECZEMABIO,1,2026-03-02,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00055,1000000007,"John Jackson, MD",ECZEMABIO,3,2026-01-05,Beacon Hill Dermatology,1 Charles St S,Suite 300,Boston,MA,02116
RX00056,1000000007,"John Jackson, MD",ECZEMABIO,5,2026-01-12,Beacon Hill Dermatology,1 Charles St S,Suite 300,Boston,MA,02116
RX00057,1000000007,"John Jackson, MD",ECZEMABIO,2,2026-01-19,Beacon Hill Dermatology,1 Charles St S,Suite 300,Boston,MA,02116
RX00058,1000000007,"John Jackson, MD",ECZEMABIO,6,2026-01-26,Beacon Hill Dermatology,1 Charles St S,Suite 300,Boston,MA,02116
RX00059,1000000007,"John Jackson, MD",ECZEMABIO,2,2026-02-02,Beacon Hill Dermatology,1 Charles St S,Suite 300,Boston,MA,02116
RX00060,1000000007,"John Jackson, MD",ECZEMABIO,1,2026-02-09,Beacon Hill Dermatology,1 Charles St S,Suite 300,Boston,MA,02116
RX00061,1000000007,"John Jackson, MD",ECZEMABIO,4,2026-02-16,Beacon Hill Dermatology,1 Charles St S,Suite 300,Boston,MA,02116
RX00062,1000000007,"John Jackson, MD",ECZEMABIO,4,2026-02-23,Beacon Hill Dermatology,1 Charles St S,Suite 300,Boston,MA,02116
RX00063,1000000007,"John Jackson, MD",ECZEMABIO,5,2026-03-02,Beacon Hill Dermatology,1 Charles St S,Suite 300,Boston,MA,02116
RX00064,1000000008,"Ethan C. Johnson, MD",ECZEMABIO,11,2026-01-05,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00065,1000000008,"Ethan C. Johnson, MD",ECZEMABIO,13,2026-01-12,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00066,1000000008,"Ethan C. Johnson, MD",ECZEMABIO,17,2026-01-19,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00067,1000000008,"Ethan C. Johnson, MD",ECZEMABIO,11,2026-01-26,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00068,1000000008,"Ethan C. Johnson, MD",ECZEMABIO,8,2026-02-02,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00069,1000000008,"Ethan C. Johnson, MD",ECZEMABIO,17,2026-02-09,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00070,1000000008,"Ethan C. Johnson, MD",ECZEMABIO,20,2026-02-16,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00071,1000000008,"Ethan C. Johnson, MD",ECZEMABIO,20,2026-02-23,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00072,1000000008,"Ethan C. Johnson, MD",ECZEMABIO,14,2026-03-02,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00073,1000000009,"Samuel E. Harris, MD",ECZEMABIO,10,2026-01-05,MGB Dermatology Network - Fenway Associates,401 Park Dr,Ste 2,Boston,MA,02215
RX00074,1000000009,"Samuel E. Harris, MD",ECZEMABIO,15,2026-01-12,MGB Dermatology Network - Fenway Associates,401 Park Dr,Ste 2,Boston,MA,02215
RX00075,1000000009,"Samuel E. Harris, MD",ECZEMABIO,11,2026-01-19,MGB Dermatology Network - Fenway Associates,401 Park Dr,Ste 2,Boston,MA,02215
RX00076,1000000009,"Samuel E. Harris, MD",ECZEMABIO,17,2026-01-26,MGB Dermatology Network - Fenway Associates,401 Park Dr,Ste 2,Boston,MA,02215
RX00077,1000000009,"Samuel E. Harris, MD",ECZEMABIO,11,2026-02-02,MGB Dermatology Network - Fenway Associates,401 Park Dr,Ste 2,Boston,MA,02215
RX00078,1000000009,"Samuel E. Harris, MD",ECZEMABIO,9,2026-02-09,MGB Dermatology Network - Fenway Associates,401 Park Dr,Ste 2,Boston,MA,02215
RX00079,1000000009,"Samuel E. Harris, MD",ECZEMABIO,19,2026-02-16,MGB Dermatology Network - Fenway Associates,401 Park Dr,Ste 2,Boston,MA,02215
RX00080,1000000009,"Samuel E. Harris, MD",ECZEMABIO,25,2026-02-23,MGB Dermatology Network - Fenway Associates,401 Park Dr,Ste 2,Boston,MA,02215
RX00081,1000000009,"Samuel E. Harris, MD",ECZEMABIO,21,2026-03-02,MGB Dermatology Network - Fenway Associates,401 Park Dr,Ste 2,Boston,MA,02215
RX00082,1000000010,"Hana A. Perez, MD",ECZEMABIO,5,2026-01-05,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00083,1000000010,"Hana A. Perez, MD",ECZEMABIO,2,2026-01-12,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00084,1000000010,"Hana A. Perez, MD",ECZEMABIO,0,2026-01-19,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00085,1000000010,"Hana A. Perez, MD",ECZEMABIO,4,2026-01-26,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00086,1000000010,"Hana A. Perez, MD",ECZEMABIO,5,2026-02-02,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00087,1000000010,"Hana A. Perez, MD",ECZEMABIO,2,2026-02-09,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00088,1000000010,"Hana A. Perez, MD",ECZEMABIO,0,2026-02-16,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00089,1000000010,"Hana A. Perez, MD",ECZEMABIO,6,2026-02-23,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00090,1000000010,"Hana A. Perez, MD",ECZEMABIO,3,2026-03-02,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00091,1000000011,"Sophia B. Anderson, MD",ECZEMABIO,23,2026-01-05,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00092,1000000011,"Sophia B. Anderson, MD",ECZEMABIO,11,2026-01-12,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00093,1000000011,"Sophia B. Anderson, MD",ECZEMABIO,21,2026-01-19,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00094,1000000011,"Sophia B. Anderson, MD",ECZEMABIO,19,2026-01-26,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00095,1000000011,"Sophia B. Anderson, MD",ECZEMABIO,22,2026-02-02,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00096,1000000011,"Sophia B. Anderson, MD",ECZEMABIO,12,2026-02-09,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00097,1000000011,"Sophia B. Anderson, MD",ECZEMABIO,21,2026-02-16,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00098,1000000011,"Sophia B. Anderson, MD",ECZEMABIO,13,2026-02-23,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00099,1000000011,"Sophia B. Anderson, MD",ECZEMABIO,24,2026-03-02,Cambridge Dermatology Center,1101 Cambridge St,Ste 200,Cambridge,MA,02141
RX00100,1000000012,"James C. Martinez, MD",ECZEMABIO,7,2026-01-05,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00101,1000000012,"James C. Martinez, MD",ECZEMABIO,12,2026-01-12,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00102,1000000012,"James C. Martinez, MD",ECZEMABIO,11,2026-01-19,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00103,1000000012,"James C. Martinez, MD",ECZEMABIO,10,2026-01-26,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00104,1000000012,"James C. Martinez, MD",ECZEMABIO,10,2026-02-02,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00105,1000000012,"James C. Martinez, MD",ECZEMABIO,9,2026-02-09,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00106,1000000012,"James C. Martinez, MD",ECZEMABIO,12,2026-02-16,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00107,1000000012,"James C. Martinez, MD",ECZEMABIO,7,2026-02-23,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00108,1000000012,"James C. Martinez, MD",ECZEMABIO,8,2026-03-02,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00109,1000000013,"Grace A. Robinson, MD",ECZEMABIO,15,2026-01-05,MGB Dermatology Network - Beacon Hill,1 Charles St S,Ste 300,Boston,MA,02116
RX00110,1000000013,"Grace A. Robinson, MD",ECZEMABIO,10,2026-01-12,MGB Dermatology Network - Beacon Hill,1 Charles St S,Ste 300,Boston,MA,02116
RX00111,1000000013,"Grace A. Robinson, MD",ECZEMABIO,16,2026-01-19,MGB Dermatology Network - Beacon Hill,1 Charles St S,Ste 300,Boston,MA,02116
RX00112,1000000013,"Grace A. Robinson, MD",ECZEMABIO,22,2026-01-26,MGB Dermatology Network - Beacon Hill,1 Charles St S,Ste 300,Boston,MA,02116
RX00113,1000000013,"Grace A. Robinson, MD",ECZEMABIO,15,2026-02-02,MGB Dermatology Network - Beacon Hill,1 Charles St S,Ste 300,Boston,MA,02116
RX00114,1000000013,"Grace A. Robinson, MD",ECZEMABIO,22,2026-02-09,MGB Dermatology Network - Beacon Hill,1 Charles St S,Ste 300,Boston,MA,02116
RX00115,1000000013,"Grace A. Robinson, MD",ECZEMABIO,20,2026-02-16,MGB Dermatology Network - Beacon Hill,1 Charles St S,Ste 300,Boston,MA,02116
RX00116,1000000013,"Grace A. Robinson, MD",ECZEMABIO,18,2026-02-23,MGB Dermatology Network - Beacon Hill,1 Charles St S,Ste 300,Boston,MA,02116
RX00117,1000000013,"Grace A. Robinson, MD",ECZEMABIO,8,2026-03-02,MGB Dermatology Network - Beacon Hill,1 Charles St S,Ste 300,Boston,MA,02116
RX00118,1000000014,"Hana A. Lewis, MD",ECZEMABIO,18,2026-01-05,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00119,1000000014,"Hana A. Lewis, MD",ECZEMABIO,14,2026-01-12,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00120,1000000014,"Hana A. Lewis, MD",ECZEMABIO,16,2026-01-19,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00121,1000000014,"Hana A. Lewis, MD",ECZEMABIO,16,2026-01-26,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00122,1000000014,"Hana A. Lewis, MD",ECZEMABIO,24,2026-02-02,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00123,1000000014,"Hana A. Lewis, MD",ECZEMABIO,10,2026-02-09,Dorchester Dermatology,2100 Dorchester Ave,Ste 201,Dorchester,MA,02124
RX00124,1000000014,"Hana A. Lewis, MD",ECZEMABIO,21,2026-02-16,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00125,1000000014,"Hana A. Lewis, MD",ECZEMABIO,15,2026-02-23,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00126,1000000014,"Hana A. Lewis, MD",ECZEMABIO,23,2026-03-02,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00127,1000000015,"Isabella E. Turner, MD",ECZEMABIO,3,2026-01-05,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00128,1000000015,"Isabella E. Turner, MD",ECZEMABIO,6,2026-01-12,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00129,1000000015,"Isabella E. Turner, MD",ECZEMABIO,6,2026-01-19,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00130,1000000015,"Isabella E. Turner, MD",ECZEMABIO,12,2026-01-26,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00131,1000000015,"Isabella E. Turner, MD",ECZEMABIO,11,2026-02-02,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00132,1000000015,"Isabella E. Turner, MD",ECZEMABIO,9,2026-02-09,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00133,1000000015,"Isabella E. Turner, MD",ECZEMABIO,11,2026-02-16,Newton Dermatology,2000 Washington St,Ste 400,Newton,MA,02462
RX00134,1000000015,"Isabella E. Turner, MD",ECZEMABIO,10,2026-02-23,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00135,1000000015,"Isabella E. Turner, MD",ECZEMABIO,7,2026-03-02,Beth Israel Deaconess Medical Center,330 Brookline Ave,,Boston,MA,02215
RX00136,1000000016,"William C. Miller, MD",ECZEMABIO,1,2026-01-05,Seaport Dermatology,88 Seaport Blvd,Suite 250,Boston,MA,02210
RX00137,1000000016,"William C. Miller, MD",ECZEMABIO,0,2026-01-12,Seaport Dermatology,88 Seaport Blvd,Suite 250,Boston,MA,02210
RX00138,1000000016,"William C. Miller, MD",ECZEMABIO,5,2026-01-19,Seaport Dermatology,88 Seaport Blvd,Suite 250,Boston,MA,02210
RX00139,1000000016,"William C. Miller, MD",ECZEMABIO,1,2026-01-26,Seaport Dermatology,88 Seaport Blvd,Suite 250,Boston,MA,02210
RX00140,1000000016,"William C. Miller, MD",ECZEMABIO,2,2026-02-02,Seaport Dermatology,88 Seaport Blvd,Suite 250,Boston,MA,02210
RX00141,1000000016,"William C. Miller, MD",ECZEMABIO,0,2026-02-09,Seaport Dermatology,88 Seaport Blvd,Suite 250,Boston,MA,02210
RX00142,1000000016,"William C. Miller, MD",ECZEMABIO,5,2026-02-16,Seaport Dermatology,88 Seaport Blvd,Suite 250,Boston,MA,02210
RX00143,1000000016,"William C. Miller, MD",ECZEMABIO,4,2026-02-23,Seaport Dermatology,88 Seaport Blvd,Suite 250,Boston,MA,02210
RX00144,1000000016,"William C. Miller, MD",ECZEMABIO,6,2026-03-02,Seaport Dermatology,88 Seaport Blvd,Suite 250,Boston,MA,02210
RX00145,1000000017,"Lucas A. Mitchell, MD",ECZEMABIO,5,2026-01-05,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00146,1000000017,"Lucas A. Mitchell, MD",ECZEMABIO,6,2026-01-12,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00147,1000000017,"Lucas A. Mitchell, MD",ECZEMABIO,6,2026-01-19,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00148,1000000017,"Lucas A. Mitchell, MD",ECZEMABIO,10,2026-01-26,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00149,1000000017,"Lucas A. Mitchell, MD",ECZEMABIO,7,2026-02-02,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00150,1000000017,"Lucas A. Mitchell, MD",ECZEMABIO,12,2026-02-09,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00151,1000000017,"Lucas A. Mitchell, MD",ECZEMABIO,11,2026-02-16,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00152,1000000017,"Lucas A. Mitchell, MD",ECZEMABIO,12,2026-02-23,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00153,1000000017,"Lucas A. Mitchell, MD",ECZEMABIO,7,2026-03-02,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00154,1000000018,"Olivia Anderson, MD",ECZEMABIO,6,2026-01-05,Back Bay Dermatology,800 Boylston St,Suite 1600,Boston,MA,02199
RX00155,1000000018,"Olivia Anderson, MD",ECZEMABIO,8,2026-01-12,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00156,1000000018,"Olivia Anderson, MD",ECZEMABIO,3,2026-01-19,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00157,1000000018,"Olivia Anderson, MD",ECZEMABIO,5,2026-01-26,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00158,1000000018,"Olivia Anderson, MD",ECZEMABIO,3,2026-02-02,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00159,1000000018,"Olivia Anderson, MD",ECZEMABIO,5,2026-02-09,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00160,1000000018,"Olivia Anderson, MD",ECZEMABIO,10,2026-02-16,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00161,1000000018,"Olivia Anderson, MD",ECZEMABIO,3,2026-02-23,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00162,1000000018,"Olivia Anderson, MD",ECZEMABIO,10,2026-03-02,Brigham and Women's Hospital,75 Francis St,,Boston,MA,02115
RX00163,1000000019,"Lucas A. Singh, MD",ECZEMABIO,10,2026-01-05,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00164,1000000019,"Lucas A. Singh, MD",ECZEMABIO,10,2026-01-12,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00165,1000000019,"Lucas A. Singh, MD",ECZEMABIO,8,2026-01-19,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00166,1000000019,"Lucas A. Singh, MD",ECZEMABIO,5,2026-01-26,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00167,1000000019,"Lucas A. Singh, MD",ECZEMABIO,3,2026-02-02,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00168,1000000019,"Lucas A. Singh, MD",ECZEMABIO,7,2026-02-09,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00169,1000000019,"Lucas A. Singh, MD",ECZEMABIO,10,2026-02-16,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00170,1000000019,"Lucas A. Singh, MD",ECZEMABIO,4,2026-02-23,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00171,1000000019,"Lucas A. Singh, MD",ECZEMABIO,4,2026-03-02,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
